iter	RMSE
280	2090.73319
281	2088.341909
282	2086.080315
283	2084.703782
284	2083.313998
285	2082.093231
286	2080.138028
287	2078.884197
288	2077.400498
289	2076.513729
290	2075.600212
291	2074.10399
292	2073.224177
293	2071.927438
294	2070.382293
295	2069.026949
296	2068.295044
297	2067.092261
298	2065.595569
299	2063.757963
300	2062.570716
301	2061.314557
302	2059.037258
303	2058.189874
304	2056.922544
305	2055.833926
306	2054.423959
307	2053.726255
308	2052.702813
309	2051.449249
310	2049.748419
311	2048.572916
312	2047.622103
313	2045.153086
314	2044.149353
315	2043.514576
316	2041.687342
317	2041.013928
318	2039.419311
319	2038.467703
320	2037.307753
321	2035.458819
322	2032.508455
323	2030.980782
324	2028.411042
325	2027.452396
326	2025.987715
327	2024.930913
328	2023.752228
329	2022.022403
330	2021.195534
331	2019.57123
332	2018.190939
333	2016.30185
334	2015.179202
335	2013.866655
336	2012.138179
337	2011.417007
338	2010.55277
339	2009.465572
340	2008.699075
341	2007.598621
342	2006.509539
343	2004.516295
344	2003.455729
345	2002.126271
346	2001.348232
347	2000.007357
348	1999.289481
349	1998.190427
350	1996.666376
351	1995.370346
352	1994.469328
353	1993.561644
354	1992.422064
355	1991.515694
356	1990.011721
357	1989.454863
358	1988.372168
359	1987.628697
360	1986.203634
361	1985.651635
362	1983.43353
363	1982.785817
364	1982.136806
365	1981.369964
366	1980.346952
367	1978.75368
368	1977.493316
369	1976.550913
370	1975.58192
371	1974.609044
372	1973.62097
373	1972.34683
374	1971.31692
375	1970.022797
376	1968.403903
377	1967.787512
378	1966.494613
379	1965.804272
380	1965.083891
381	1964.06426
382	1963.272576
383	1962.217746
384	1961.531044
385	1960.551353
386	1958.688672
387	1957.830327
388	1956.402255
389	1955.770115
390	1954.885044
391	1953.665643
392	1952.992129
393	1950.896893
394	1949.792438
395	1948.493207
396	1947.875962
397	1947.341711
398	1946.030636
399	1944.653865
400	1943.948456
401	1943.315934
402	1942.677963
403	1941.574987
404	1940.39876
405	1939.267405
406	1938.449327
407	1937.180834
408	1935.560183
409	1934.925594
410	1934.61072
411	1933.93038
412	1933.143893
413	1932.093081
414	1931.048743
415	1929.363007
416	1928.49873
417	1927.995483
418	1926.404971
419	1925.357266
420	1924.457917
421	1923.720318
422	1921.897129
423	1921.365446
424	1919.859891
425	1919.418643
426	1918.055163
427	1917.231702
428	1916.761718
429	1915.539068
430	1914.807037
431	1913.175761
432	1912.110376
433	1911.282489
434	1910.454114
435	1909.735779
436	1908.431407
437	1907.368222
438	1906.736953
439	1905.122576
440	1904.156016
441	1903.728654
442	1902.432141
443	1901.85745
444	1900.592708
445	1899.264539
446	1898.692762
447	1897.728371
448	1896.782416
449	1895.475307
450	1894.269423
451	1893.145281
452	1892.350604
453	1891.825072
454	1890.806131
455	1889.448566
456	1889.060642
457	1888.51337
458	1887.032785
459	1886.451388
460	1885.373125
461	1884.533188
462	1883.319336
463	1882.788125
464	1881.840417
465	1881.112918
466	1879.928463
467	1879.106202
468	1878.328792
469	1877.218528
470	1876.289556
471	1875.155634
472	1874.31547
473	1873.454426
474	1872.823914
475	1871.656981
476	1870.676841
477	1870.009697
478	1868.757927
479	1868.279278
480	1867.028178
481	1866.414753
482	1865.714683
483	1864.831599
484	1863.889585
485	1863.353359
486	1862.752434
487	1861.292276
488	1860.701338
489	1859.563052
490	1858.492883
491	1856.701879
492	1856.277311
493	1855.750254
494	1855.027168
495	1854.543524
496	1853.712101
497	1852.773519
498	1852.322286
499	1851.7936
500	1851.143172
501	1850.118105
502	1849.368969
503	1848.346206
504	1847.947234
505	1847.461699
506	1846.680922
507	1845.878698
508	1845.386913
509	1844.160172
510	1843.513342
511	1842.969495
512	1841.887578
513	1841.281261
514	1840.541208
515	1840.149344
516	1839.637602
517	1839.213042
518	1838.529554
519	1837.619409
520	1836.928212
521	1836.58929
522	1835.69494
523	1834.914485
524	1834.265281
525	1833.678161
526	1832.764961
527	1832.238437
528	1831.576346
529	1831.074517
530	1830.271366
531	1829.067373
532	1828.615644
533	1828.085927
534	1827.242247
535	1826.721696
536	1826.255109
537	1825.300551
538	1824.923271
539	1824.507869
540	1823.90203
541	1823.123911
542	1822.821662
543	1822.231786
544	1821.521729
545	1820.838601
546	1820.254551
547	1819.831278
548	1818.348294
549	1817.665974
550	1816.7303
551	1816.257476
552	1815.908227
553	1815.058603
554	1814.494567
555	1813.997059
556	1813.466243
557	1812.626748
558	1812.067288
559	1811.732336
560	1811.062119
561	1810.556259
562	1810.053896
563	1808.909391
564	1808.310693
565	1807.867875
566	1807.422795
567	1806.898453
568	1806.208006
569	1805.524634
570	1805.019445
571	1804.613457
572	1804.008145
573	1803.633951
574	1803.103162
575	1802.572516
576	1802.191644
577	1801.660799
578	1800.722319
579	1800.198578
580	1799.702396
581	1799.274605
582	1798.894145
583	1797.962891
584	1797.578097
585	1797.096589
586	1796.61833
587	1795.858434
588	1795.398275
589	1794.957091
590	1794.310456
591	1793.416005
592	1793.045069
593	1792.726638
594	1792.35403
595	1791.49488
596	1791.099251
597	1790.654181
598	1790.200629
599	1789.268772
600	1788.683643
601	1788.149513
602	1787.339503
603	1786.778896
604	1786.20216
605	1785.65767
606	1784.914811
607	1784.345797
608	1783.616374
609	1783.186096
610	1782.552298
611	1781.775745
612	1780.909499
613	1780.331686
614	1779.666225
615	1778.992816
616	1778.52301
617	1777.792679
618	1777.468143
619	1776.854108
620	1776.09447
621	1774.696991
622	1774.388838
623	1773.953735
624	1773.472787
625	1772.719897
626	1772.440399
627	1771.818839
628	1771.262159
629	1770.449117
630	1769.756207
631	1769.079682
632	1768.381957
633	1768.025001
634	1767.233287
635	1766.864563
636	1766.23359
637	1765.666268
638	1765.378043
639	1764.727025
640	1764.368699
641	1763.743434
642	1763.411034
643	1762.948143
644	1762.592006
645	1761.930741
646	1761.378933
647	1760.958594
648	1760.21502
649	1759.660938
650	1759.091829
651	1758.441954
652	1757.610248
653	1756.79013
654	1756.006074
655	1755.601317
656	1754.944215
657	1754.287957
658	1753.626516
659	1752.981326
660	1752.059841
661	1751.219897
662	1750.887804
663	1750.556493
664	1749.98572
665	1749.560223
666	1748.765901
667	1748.224056
668	1747.431871
669	1747.023039
670	1746.692268
671	1746.000536
672	1745.42019
673	1744.887596
674	1744.468457
675	1743.581314
676	1742.919752
677	1742.375323
678	1741.99337
679	1741.695179
680	1741.174874
681	1740.695493
682	1740.323338
683	1739.901215
684	1738.719656
685	1738.233128
686	1737.478554
687	1737.081458
688	1736.583986
689	1736.288293
690	1735.764645
691	1734.999658
692	1734.654288
693	1734.257931
694	1733.32426
695	1733.041286
696	1732.766558
697	1732.281601
698	1731.895627
699	1731.697598
700	1731.251755
701	1730.960918
702	1730.305853
703	1729.901176
704	1728.893208
705	1728.488648
706	1727.742847
707	1727.238848
708	1726.789943
709	1726.113432
710	1725.788667
711	1725.316814
712	1724.540159
713	1723.871353
714	1723.459492
715	1722.756896
716	1721.888236
717	1721.229215
718	1720.588532
719	1719.572711
720	1719.046871
721	1718.724999
722	1718.135552
723	1717.768271
724	1717.359989
725	1716.958287
726	1716.507816
727	1716.106223
728	1715.759645
729	1714.962503
730	1714.583516
731	1714.180852
732	1713.931528
733	1713.332793
734	1712.854873
735	1712.492652
736	1712.254949
737	1711.542666
738	1710.752343
739	1710.263461
740	1709.527786
741	1709.301491
742	1708.58073
743	1707.962267
744	1707.560821
745	1707.102803
746	1706.722286
747	1705.944988
748	1705.671022
749	1705.171406
750	1704.656503
751	1704.455913
752	1704.09315
753	1703.203142
754	1702.671585
755	1702.484108
756	1701.931051
757	1701.45882
758	1701.202238
759	1700.101451
760	1699.682816
761	1698.921976
762	1698.045284
763	1697.640967
764	1697.463334
765	1697.187136
766	1696.968021
767	1696.642235
768	1695.738547
769	1695.585195
770	1694.967269
771	1694.459745
772	1693.748172
773	1692.952602
774	1692.697001
775	1692.408996
776	1691.948997
777	1691.547226
778	1691.210435
779	1690.445883
780	1690.08303
781	1689.901348
782	1689.619248
783	1689.073699
784	1687.923589
785	1687.281868
786	1687.039533
787	1686.608334
788	1686.048971
789	1685.870563
790	1685.577831
791	1684.738723
792	1684.314961
793	1684.033307
794	1683.90257
795	1683.470614
796	1683.275094
797	1683.017816
798	1682.847404
799	1682.532682
800	1681.964459
801	1681.297819
802	1680.99685
803	1680.616135
804	1680.242671
805	1679.960674
806	1679.671566
807	1679.416721
808	1679.188051
809	1678.879332
810	1678.526213
811	1677.849689
812	1677.411781
813	1676.668602
814	1676.267446
815	1675.977913
816	1675.779882
817	1675.496979
818	1675.168715
819	1674.516673
820	1674.011941
821	1673.77873
822	1673.490472
823	1672.900926
824	1672.649336
825	1672.213403
826	1671.842001
827	1671.367584
828	1671.065686
829	1670.732746
830	1670.367827
831	1670.08187
832	1669.743851
833	1669.110795
834	1668.547025
835	1667.777212
836	1667.629987
837	1667.431948
838	1666.943748
839	1666.394283
840	1665.972502
841	1665.420657
842	1664.738514
843	1664.460555
844	1663.994785
845	1663.700269
846	1663.374467
847	1663.146142
848	1662.804357
849	1662.629821
850	1662.373611
851	1662.213949
852	1661.852902
853	1661.335437
854	1660.761273
855	1659.373534
856	1658.920252
857	1658.607004
858	1658.355445
859	1658.083377
860	1657.726067
861	1657.439804
862	1657.065699
863	1656.609468
864	1656.406784
865	1656.111131
866	1655.903807
867	1655.412081
868	1654.780523
869	1654.516399
870	1653.959998
871	1653.508014
872	1653.258652
873	1653.07765
874	1652.834584
875	1652.512472
876	1652.214483
877	1652.003558
878	1651.516408
879	1651.210972
880	1650.643803
881	1650.457662
882	1650.199791
883	1649.712072
884	1649.239193
885	1648.891787
886	1648.546995
887	1648.138063
888	1647.769918
889	1647.260798
890	1646.64621
891	1646.409762
892	1645.95085
893	1645.592787
894	1645.251612
895	1644.604008
896	1643.743753
897	1643.452406
898	1642.970214
899	1642.694084
900	1641.841738
901	1641.539104
902	1641.249516
903	1641.075552
904	1640.534042
905	1640.224705
906	1639.847334
907	1639.674871
908	1639.526609
909	1639.284703
910	1639.094538
911	1638.807761
912	1638.126175
913	1637.693215
914	1637.41074
915	1637.168759
916	1636.636827
917	1636.208582
918	1635.445241
919	1635.004085
920	1634.835755
921	1634.565797
922	1633.82724
923	1633.42917
924	1632.890495
925	1632.271431
926	1631.863461
927	1631.154659
928	1630.646201
929	1629.788948
930	1629.533648
931	1629.209859
932	1628.710948
933	1628.340328
934	1628.128512
935	1627.289724
936	1626.973762
937	1626.586341
938	1626.35401
939	1626.15007
940	1626.00217
941	1625.644402
942	1625.267879
943	1624.925346
944	1624.363355
945	1624.044395
946	1623.663196
947	1623.204055
948	1622.797587
949	1622.168251
950	1621.832169
951	1621.623432
952	1621.329279
953	1620.811008
954	1620.178654
955	1619.818005
956	1619.311427
957	1618.697651
958	1618.51818
959	1618.187114
960	1617.938236
961	1617.686425
962	1617.533443
963	1617.278269
964	1616.982654
965	1616.700987
966	1616.343854
967	1616.110261
968	1615.6911
969	1615.477312
970	1614.89691
971	1614.501288
972	1614.275655
973	1613.995775
974	1613.818754
975	1613.258451
976	1613.080339
977	1612.810285
978	1612.49465
979	1612.093768
980	1611.770733
981	1611.301577
982	1610.833611
983	1610.474794
984	1610.05221
985	1609.857133
986	1609.414389
987	1608.984644
988	1608.569951
989	1608.091286
990	1607.709797
991	1606.896454
992	1606.656148
993	1606.297679
994	1605.966076
995	1605.398971
996	1605.099998
997	1604.704823
998	1604.384857
999	1604.139787
